code,units,body,helpers,early,day,night,deep,is_increase,content
160001,256,あり,1,0,0.5,0,0,FALSE,身体介護あり日中０．５
160002,256,あり,2,0,0.5,0,0,FALSE,身体介護あり日中０．５・２人
160003,404,あり,1,0,1,0,0,FALSE,身体介護あり日中１．０
160004,404,あり,2,0,1,0,0,FALSE,身体介護あり日中１．０・２人
160005,587,あり,1,0,1.5,0,0,FALSE,身体介護あり日中１．５
160006,587,あり,2,0,1.5,0,0,FALSE,身体介護あり日中１．５・２人
160007,669,あり,1,0,2,0,0,FALSE,身体介護あり日中２．０
160008,669,あり,2,0,2,0,0,FALSE,身体介護あり日中２．０・２人
160009,754,あり,1,0,2.5,0,0,FALSE,身体介護あり日中２．５
160010,754,あり,2,0,2.5,0,0,FALSE,身体介護あり日中２．５・２人
160011,837,あり,1,0,3,0,0,FALSE,身体介護あり日中３．０
160012,837,あり,2,0,3,0,0,FALSE,身体介護あり日中３．０・２人
160013,921,あり,1,0,3.5,0,0,FALSE,身体介護あり日中３．５
160014,921,あり,2,0,3.5,0,0,FALSE,身体介護あり日中３．５・２人
160015,"1,004",あり,1,0,4,0,0,FALSE,身体介護あり日中４．０
160016,"1,004",あり,2,0,4,0,0,FALSE,身体介護あり日中４．０・２人
160017,"1,087",あり,1,0,4.5,0,0,FALSE,身体介護あり日中４．５
160018,"1,087",あり,2,0,4.5,0,0,FALSE,身体介護あり日中４．５・２人
160019,"1,170",あり,1,0,5,0,0,FALSE,身体介護あり日中５．０
160020,"1,170",あり,2,0,5,0,0,FALSE,身体介護あり日中５．０・２人
160021,"1,253",あり,1,0,5.5,0,0,FALSE,身体介護あり日中５．５
160022,"1,253",あり,2,0,5.5,0,0,FALSE,身体介護あり日中５．５・２人
160023,"1,336",あり,1,0,6,0,0,FALSE,身体介護あり日中６．０
160024,"1,336",あり,2,0,6,0,0,FALSE,身体介護あり日中６．０・２人
160025,"1,419",あり,1,0,6.5,0,0,FALSE,身体介護あり日中６．５
160026,"1,419",あり,2,0,6.5,0,0,FALSE,身体介護あり日中６．５・２人
160027,"1,502",あり,1,0,7,0,0,FALSE,身体介護あり日中７．０
160028,"1,502",あり,2,0,7,0,0,FALSE,身体介護あり日中７．０・２人
160029,"1,585",あり,1,0,7.5,0,0,FALSE,身体介護あり日中７．５
160030,"1,585",あり,2,0,7.5,0,0,FALSE,身体介護あり日中７．５・２人
160031,"1,668",あり,1,0,8,0,0,FALSE,身体介護あり日中８．０
160032,"1,668",あり,2,0,8,0,0,FALSE,身体介護あり日中８．０・２人
160033,"1,751",あり,1,0,8.5,0,0,FALSE,身体介護あり日中８．５
160034,"1,751",あり,2,0,8.5,0,0,FALSE,身体介護あり日中８．５・２人
160035,"1,834",あり,1,0,9,0,0,FALSE,身体介護あり日中９．０
160036,"1,834",あり,2,0,9,0,0,FALSE,身体介護あり日中９．０・２人
160037,"1,917",あり,1,0,9.5,0,0,FALSE,身体介護あり日中９．５
160038,"1,917",あり,2,0,9.5,0,0,FALSE,身体介護あり日中９．５・２人
160039,"2,000",あり,1,0,10,0,0,FALSE,身体介護あり日中１０．０
160040,"2,000",あり,2,0,10,0,0,FALSE,身体介護あり日中１０．０・２人
160041,"2,083",あり,1,0,10.5,0,0,FALSE,身体介護あり日中１０．５
160042,"2,083",あり,2,0,10.5,0,0,FALSE,身体介護あり日中１０．５・２人
160043,320,あり,1,0.5,0,0,0,FALSE,身体介護あり早朝０．５
